duplicate_id,event_date,duplicate_mrn,original_mrn,source,department_id,department_name,service_line,contributory_factor_type,contributory_factors,primary_category,status,resolution_type,days_to_resolution,assigned_analyst,facility,patient_age_group,duplicate_score,investigation_time_minutes
56,2025-12-16,88417739,94821973,Emergency Department,1,Primary Care,Ambulatory,Registration Information,Duplicate registration attempt,Registration Process,Resolved,Merge,3,Natalya Leafe,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST, INC.",Adult,97,193
57,2025-10-31,14137156,6083067,Call Center,8,Behavioral Health,Behavioral Health,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Split,11,Wallie De Vaan,GADSDEN REGIONAL MEDICAL CENTER,Senior,86,25
58,2023-09-04,9696410,32710884,Internal Registration,6,Radiology,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,12,Estele Cockren,FARMINGTON MISSOURI HOSPITAL COMPANY LLC,Senior,93,20
59,2024-02-13,29784869,57559557,Referral,4,Specialty Clinics,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,KND,5,Jaquenette Crose,"CENTERPOINT HOSPITAL BASED PHYSICIANS, LLC",Adult,80,7
60,2024-11-23,7835870,69421884,Emergency Department,4,Specialty Clinics,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,Split,8,Jobie Kop,PR MEDICAL CENTER PLC,Unknown,90,33
61,2023-09-02,71336745,86225569,Emergency Department,2,Emergency Department,Emergency,Data Entry Error,Transposed first/last name,Patient Name,Resolved,No Action Required,10,Gilburt Cicchetto,GOOD SAMARITAN HOSPITAL,Senior,97,31
62,2025-03-19,71535522,95399907,Internal Registration,8,Behavioral Health,Behavioral Health,System Issue,Interface mapping error,System/Interface,Resolved,No Action Required,7,Austine Besse,PULASKI MEMORIAL HOSPITAL,Adult,84,23
63,2025-06-02,61194588,10024673,Internal Registration,6,Radiology,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,No Action Required,12,Hugo McCaffrey,RUSH UNIVERSITY MEDICAL CENTER,Senior,86,23
64,2025-11-20,80477621,47244879,Internal Registration,7,Inpatient,Inpatient,Workflow Issue,Skipped duplicate search,Workflow,Resolved,Split,15,Hamil Ditty,CELEBRITY MEDICAL CENTER LLC,Adult,70,21
65,2025-07-11,85007247,36843040,Self-schedule,2,Emergency Department,Emergency,System Issue,Data synchronization issue,System/Interface,Resolved,Merge,5,Rochester Meake,GAINESVILLE HOSPITAL DISTRICT,Adult,78,19
66,2026-01-03,90504939,99836045,Registration Kiosk,8,Behavioral Health,Behavioral Health,Data Entry Error,Incorrect address entry,Address,Resolved,Split,14,Rolland Froment,"SLEEP MEDICAL CENTER OF TRI-CITIES, LLC",Adult,88,66
67,2024-12-27,60733287,46292995,Patient Portal,4,Specialty Clinics,Ambulatory,Patient Input Error,Guardian entered own DOB,Date of Birth,In Progress,Pending,25,Ermentrude Chandlar,ALTA BATES SUMMIT MEDICAL CENTER,Adult,61,70
68,2025-06-13,51254279,2295031,Self-schedule,4,Specialty Clinics,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,KND,8,Basile Murrhaupt,KVC HOSPITALS INC,Adult,84,13
69,2024-04-19,59792458,86767033,Self-schedule,6,Radiology,Ancillary,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,KND,9,Lin Iuorio,PENNOCK HOSPITAL,Adult,87,7
70,2025-01-29,34903129,12178402,Call Center,5,Laboratory,Ancillary,Data Entry Error,Name typo,Patient Name,Resolved,No Action Required,3,Danni Shepherdson,ST. FRANCIS HOSPITAL AND HEALTH CENTERS,Senior,89,14
71,2024-05-09,38529891,26358207,Internal Registration,6,Radiology,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,KND,12,Letizia De Giorgio,MANALAPAN MEDICAL CENTER PA PC,Senior,83,10
72,2024-08-17,36259700,58300828,Emergency Department,8,Behavioral Health,Behavioral Health,Registration Information,Duplicate registration attempt,Registration Process,Resolved,KND,2,Claiborne Thorogood,"WELLSPRING FAMILY MEDICAL CENTER, INC",Adult,62,10
73,2025-08-08,39396956,18045406,Internal Registration,3,Urgent Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,Merge,14,Allyce Ceresa,ST ELIZABETHS HOSPITAL OF THE HOSPITAL SISTERS OF THE THIRD ORDER,Senior,82,25
74,2025-12-13,56360030,32286557,Internal Registration,7,Inpatient,Inpatient,Data Entry Error,Transposed first/last name,Patient Name,Resolved,KND,7,Tedd Gallant,MADISON MEDICAL CENTER,Adult,98,53
75,2024-04-19,77993307,69821975,Internal Registration,8,Behavioral Health,Behavioral Health,Registration Information,Incomplete demographics,Demographics/Registration,Pending Review,Pending,11,Evered Wartonby,JACK C. MONTGOMERY VA MEDICAL CENTER,Senior,89,17
76,2026-05-08,12950555,50666530,Referral,4,Specialty Clinics,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,KND,5,Worth Scholar,GRAND VIEW HOSPITAL,Adult,71,13
77,2025-08-27,82081891,20638629,Self-schedule,6,Radiology,Ancillary,Data Entry Error,Name typo,Patient Name,In Progress,Pending,19,Pammie O'Dulchonta,MOSES TAYLOR HOSPITAL,Adult,86,19
78,2023-12-23,18637926,7179218,Self-schedule,6,Radiology,Ancillary,Workflow Issue,Registration workflow deviation,Workflow,Resolved,No Action Required,15,Tanny Shoosmith,CLAIBORNE COUNTY HOSPITAL,Adult,86,67
79,2025-09-12,29239841,18731201,Call Center,4,Specialty Clinics,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,KND,2,Garv Mitcheson,PROJECT HOSPITALITY INC.,Adult,67,8
80,2025-12-01,95846000,1141735,Self-schedule,6,Radiology,Ancillary,Data Entry Error,Incorrect address entry,Address,Resolved,Merge,13,Marta Vandenhoff,NYU HOSPITALS CENTER,Adult,91,55
81,2025-10-06,16708768,22675598,Call Center,2,Emergency Department,Emergency,Patient Input Error,Guardian entered own name,Patient Name,Resolved,KND,8,Maggy De Paepe,LANCASTER GENERAL HOSPITAL,Adult,98,19
82,2024-01-16,6067359,74248246,Internal Registration,3,Urgent Care,Ambulatory,System Issue,Interface mapping error,System/Interface,Resolved,KND,10,Janeva McKilroe,SOUTH BROWARD HOSPITAL DISTRICT,Adult,96,54
83,2024-10-30,9646706,86129484,Call Center,6,Radiology,Ancillary,System Issue,System duplicate creation,System/Interface,Resolved,Merge,15,Artair Shills,PRIMARY & DIAGNOSTIC MEDICAL CENTERS OF TEXAS,Senior,90,74
84,2023-09-04,10935140,91256278,Internal Registration,2,Emergency Department,Emergency,System Issue,Data synchronization issue,System/Interface,Escalated,Pending,29,Elisha Liccardi,OVERLAKE HOSPITAL MEDICAL CENTER,Adult,66,21
85,2026-01-15,57903823,97843980,Self-schedule,1,Primary Care,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,Resolved,KND,5,Chlo Skitch,GRANT COUNTY PUBLIC HOSPITAL DISTRICT NO. 3,Senior,81,42
86,2026-03-29,93804890,11598996,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Incorrect address entry,Address,Resolved,No Action Required,2,Aleece Coggell,TEXAS COUNTY MEMORIAL HOSPITAL,Adult,68,12
87,2025-10-28,13228716,10139916,Call Center,6,Radiology,Ancillary,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Split,14,Farand Lacaze,LESTER E. COX MEDICAL CENTERS,Pediatric,94,11
88,2026-02-27,51556434,77988447,Self-schedule,1,Primary Care,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Resolved,KND,5,Ryann Clay,GRADUATE HOSPITAL DEPT. OF MEDICINE EDUCATION & RESEARCH FOUNDATION,Adult,96,14
89,2025-01-28,36369065,72360003,Internal Registration,4,Specialty Clinics,Ambulatory,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Split,5,Marchelle Saile,CATHOLIC MEDICAL CENTER OF BRROKLYN AND QUEENS,Senior,83,25
90,2024-05-03,58117161,57292753,Emergency Department,1,Primary Care,Ambulatory,Patient Input Error,Incorrect patient information,Other,Pending Review,Pending,8,Tawnya Pren,PIGGOTT COMMUNITY HOSPITAL,Adult,85,25
91,2023-11-28,24939356,86238746,Emergency Department,1,Primary Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,KND,7,Amelina Byrnes,ST JUDES MEDICAL CENTER,Pediatric,74,17
92,2024-03-15,25614774,15582758,Referral,3,Urgent Care,Ambulatory,System Issue,Data synchronization issue,System/Interface,Resolved,No Action Required,5,Cristabel Lardnar,"ANGEL MEDICAL CENTER, INC.",Adult,97,23
93,2025-10-17,25323861,25533019,Internal Registration,6,Radiology,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Split,3,Ortensia Marquand,CASS REGIONAL MEDICAL CENTER,Senior,68,7
94,2023-12-01,2022430,67070170,Self-schedule,5,Laboratory,Ancillary,Data Entry Error,DOB typo,Date of Birth,Resolved,Merge,2,Toma Faye,SMDC MEDICAL CENTER,Adult,51,19
95,2024-05-21,20716578,75183993,Internal Registration,4,Specialty Clinics,Ambulatory,Data Entry Error,Name typo,Patient Name,In Progress,Pending,1,Brigit Akenhead,SAINT JOSEPH HOSPITAL,Senior,90,60
96,2025-07-05,76437626,84798565,Self-schedule,1,Primary Care,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,Merge,1,Maryellen Binny,PRAIRIE DU CHIEN MEMORIAL HOSPITAL ASSOCIATION INC,Senior,92,32
97,2023-12-26,52055360,65637553,Internal Registration,7,Inpatient,Inpatient,System Issue,Interface mapping error,System/Interface,Resolved,Merge,12,Xymenes Wraxall,TUFTS-NEW ENGLAND MEDICAL CENTER,Adult,99,43
98,2025-06-29,52894664,87054091,Internal Registration,7,Inpatient,Inpatient,Workflow Issue,Registration workflow deviation,Workflow,Resolved,No Action Required,14,Eddie Lidgard,HOLY CROSS HOSPITAL,Pediatric,89,163
99,2025-05-30,46679970,30347925,Self-schedule,2,Emergency Department,Emergency,Data Entry Error,DOB typo,Date of Birth,Resolved,Split,12,Nanine Colisbe,CENTRAL REGIONAL HOSPITAL,Senior,78,24
100,2024-11-21,92892539,9759081,Call Center,8,Behavioral Health,Behavioral Health,System Issue,System duplicate creation,System/Interface,Resolved,KND,9,Corene Fonte,ASCENSION ST JOHN HOSPITAL,Pediatric,91,43
101,2026-04-10,15282558,27305634,Emergency Department,3,Urgent Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,KND,3,Martie Hynd,IHP HOSPITAL MEDICINE - JACKSON PLLC,Senior,82,25
102,2025-12-24,32722784,32700993,Self-schedule,4,Specialty Clinics,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,Resolved,KND,15,Tildi Rosle,EDWARD W. SPARROW HOSPITAL ASSOCIATION,Adult,77,35
103,2024-03-12,27487072,29107725,Call Center,1,Primary Care,Ambulatory,System Issue,Data synchronization issue,System/Interface,Resolved,Split,9,Tarrance Lippitt,SPARTANBURG MEDICAL CENTER,Senior,96,21
104,2025-04-18,88447337,30296616,Internal Registration,6,Radiology,Ancillary,Workflow Issue,Skipped duplicate search,Workflow,Resolved,Split,8,Willabella Galey,ST JOSEPH MERCY HOSPITAL,Adult,88,136
105,2025-07-16,90566618,32801725,Patient Portal,1,Primary Care,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,Resolved,No Action Required,8,Laughton McQuillen,CAROLINAS MEDICAL CENTER,Senior,88,12
106,2026-05-28,44389576,1307502,Emergency Department,6,Radiology,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,13,Daryl Gaze,"DOCTORS HOSPITAL AT RENAISSANCE, LTD",Adult,79,52
107,2025-09-11,83601157,84502592,Self-schedule,8,Behavioral Health,Behavioral Health,Registration Information,Missing insurance information,Insurance Information,Resolved,Merge,6,Kareem Ducrow,TIPPAH COUNTY HOSPITAL,Adult,83,33
108,2024-11-02,74098646,49058571,Call Center,5,Laboratory,Ancillary,System Issue,Interface mapping error,System/Interface,Pending Review,Pending,1,Analise Seyffert,NIGHTWATER MEDICAL CENTER LLC,Pediatric,48,43
109,2026-01-28,25772736,29845777,Self-schedule,1,Primary Care,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Resolved,Merge,8,Regan Elion,ST. FRANCIS MEDICAL CENTER - LEEWARD DIALYSIS,Adult,100,13
110,2024-05-13,82654210,20700663,Self-schedule,7,Inpatient,Inpatient,Data Entry Error,Name typo,Patient Name,In Progress,Pending,29,Brigitta Medford,"RAPHA MEDICAL CENTER OF FLORIDA, LLC",Adult,86,23
111,2025-11-29,91375365,68908042,Call Center,7,Inpatient,Inpatient,Data Entry Error,Name typo,Patient Name,In Progress,Pending,21,Matthus Pfaffel,VILLA CLARA MEDICAL CENTER,Adult,94,19
112,2023-10-31,40621628,11483511,Patient Portal,1,Primary Care,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,KND,15,Dosi Eddowis,BEAVER COUNTY MEMORIAL HOSPITAL,Adult,80,24
113,2023-09-29,95925450,5571437,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,Incorrect address entry,Address,Resolved,No Action Required,13,Lavinie Doelle,MARIE GREEN PSYCHIATRIC HOSPITAL,Pediatric,83,10
114,2024-06-07,1685763,85925651,Self-schedule,1,Primary Care,Ambulatory,Workflow Issue,Registration workflow deviation,Workflow,Resolved,Merge,11,Renie Daniel,AHS HOSPITAL CORP,Adult,88,95
115,2024-05-23,18405872,60793987,Emergency Department,7,Inpatient,Inpatient,Workflow Issue,Skipped duplicate search,Workflow,Resolved,No Action Required,4,Carol de Quincey,CARL R. DARNALL ARMY MEDICAL CENTER,Adult,85,15
116,2024-04-22,20792446,40463239,Internal Registration,3,Urgent Care,Ambulatory,Workflow Issue,Registration workflow deviation,Workflow,Resolved,Split,11,Meg Pollard,NORTHERN MAINE MEDICAL CENTER,Adult,83,9
117,2025-08-22,5130932,44783213,Internal Registration,3,Urgent Care,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,KND,13,Davie Quinnelly,"HOSPITAL AUTHORITY OF VALDOSTA AND LOWNDES COUNTY, GEORGIA",Senior,81,54
118,2025-11-29,58336326,15909882,Call Center,6,Radiology,Ancillary,Registration Information,Duplicate registration attempt,Registration Process,Resolved,KND,14,Stephanus Mapstone,PUNXSUTAWNEY HOSPITAL HOSPITALIST,Adult,93,62
119,2025-09-17,9417300,60240365,Internal Registration,5,Laboratory,Ancillary,Workflow Issue,Skipped duplicate search,Workflow,Resolved,KND,14,Elia Freke,COMMUNITY HOSPITALS OF INDIANA INC,Senior,91,54
120,2023-12-09,88642050,6072817,Internal Registration,7,Inpatient,Inpatient,Workflow Issue,Skipped duplicate search,Workflow,In Progress,Pending,29,Tabitha Emanson,COMMUNITY HOSPITAL OF ANDALUSIA LLC,Adult,84,124
121,2026-03-18,74507641,59487075,Internal Registration,7,Inpatient,Inpatient,Data Entry Error,DOB typo,Date of Birth,Resolved,No Action Required,2,Jedidiah Greiswood,BHC PINNACLE POINTE HOSPITAL,Adult,95,57
122,2024-03-07,7325129,6798229,Registration Kiosk,7,Inpatient,Inpatient,Registration Information,Incomplete demographics,Demographics/Registration,In Progress,Pending,26,Marcelle Sline,EMANUEL COUNTY HOSPITAL AUTHORITY,Adult,100,53
